2.4551,0.92988,0.59763,0.44614,0.35811,0.30013,0.25887,0.22792,0.2038,0.18444,0.16854,0.15524,0.14394,0.13421,0.12575,0.11832,0.11174,0.10587,0.1006,0.095847,0.091529
0.92988,1.7434,0.77637,0.5284,0.40631,0.3321,0.28176,0.24518,0.21731,0.19532,0.17751,0.16277,0.15035,0.13975,0.13058,0.12257,0.11551,0.10924,0.10364,0.098588,0.094021
0.59763,0.77637,1.449,0.6863,0.48133,0.37689,0.31184,0.26691,0.2338,0.2083,0.18801,0.17145,0.15766,0.14599,0.13598,0.12729,0.11967,0.11294,0.10694,0.10156,0.096714
0.44614,0.5284,0.6863,1.2766,0.62504,0.44655,0.35397,0.29546,0.25457,0.22415,0.20053,0.18161,0.16609,0.1531,0.14206,0.13256,0.12428,0.11701,0.11056,0.10481,0.099637
0.35811,0.40631,0.48133,0.62504,1.1593,0.57975,0.41944,0.33544,0.28185,0.24409,0.21582,0.19373,0.17596,0.1613,0.14899,0.1385,0.12944,0.12152,0.11455,0.10836,0.10282
0.30013,0.3321,0.37689,0.44655,0.57975,1.0726,0.54443,0.39752,0.32003,0.2703,0.23505,0.20853,0.18772,0.1709,0.15699,0.14527,0.13525,0.12657,0.11898,0.11228,0.10632
0.25887,0.28176,0.31184,0.35397,0.41944,0.54443,1.0049,0.51584,0.37928,0.30695,0.26032,0.22715,0.20208,0.18235,0.16635,0.15308,0.14187,0.13227,0.12393,0.11663,0.11017
0.22792,0.24518,0.26691,0.29546,0.33544,0.39752,0.51584,0.95007,0.49205,0.36379,0.29566,0.25159,0.22015,0.19632,0.17751,0.16222,0.14951,0.13876,0.12952,0.12149,0.11444
0.2038,0.21731,0.2338,0.25457,0.28185,0.32003,0.37928,0.49205,0.90442,0.47183,0.35041,0.28577,0.24387,0.21389,0.19113,0.17312,0.15845,0.14624,0.13588,0.12697,0.11922
0.18444,0.19532,0.2083,0.22415,0.24409,0.2703,0.30695,0.36379,0.47183,0.86558,0.45434,0.33869,0.27701,0.23696,0.20826,0.18642,0.16912,0.155,0.14322,0.13322,0.12461
0.16854,0.17751,0.18801,0.20053,0.21582,0.23505,0.26032,0.29566,0.35041,0.45434,0.83199,0.43901,0.32831,0.26919,0.23074,0.20315,0.18212,0.16544,0.15181,0.14043,0.13075
0.15524,0.16277,0.17145,0.18161,0.19373,0.20853,0.22715,0.25159,0.28577,0.33869,0.43901,0.80254,0.42543,0.31902,0.26213,0.22509,0.19848,0.17818,0.16205,0.14886,0.13783
0.14394,0.15035,0.15766,0.16609,0.17596,0.18772,0.20208,0.22015,0.24387,0.27701,0.32831,0.42543,0.77641,0.41327,0.31065,0.25573,0.21994,0.1942,0.17454,0.15891,0.14612
0.13421,0.13975,0.14599,0.1531,0.1613,0.1709,0.18235,0.19632,0.21389,0.23696,0.26919,0.31902,0.41327,0.75302,0.4023,0.30304,0.24988,0.2152,0.19025,0.17117,0.156
0.12575,0.13058,0.13598,0.14206,0.14899,0.15699,0.16635,0.17751,0.19113,0.20826,0.23074,0.26213,0.31065,0.4023,0.73192,0.39233,0.29609,0.2445,0.21084,0.18659,0.16804
0.11832,0.12257,0.12729,0.13256,0.1385,0.14527,0.15308,0.16222,0.17312,0.18642,0.20315,0.22509,0.25573,0.30304,0.39233,0.71273,0.38321,0.2897,0.23954,0.20679,0.18318
0.11174,0.11551,0.11967,0.12428,0.12944,0.13525,0.14187,0.14951,0.15845,0.16912,0.18212,0.19848,0.21994,0.24988,0.29609,0.38321,0.69518,0.37483,0.28381,0.23495,0.20303
0.10587,0.10924,0.11294,0.11701,0.12152,0.12657,0.13227,0.13876,0.14624,0.155,0.16544,0.17818,0.1942,0.2152,0.2445,0.2897,0.37483,0.67905,0.36709,0.27834,0.23067
0.1006,0.10364,0.10694,0.11056,0.11455,0.11898,0.12393,0.12952,0.13588,0.14322,0.15181,0.16205,0.17454,0.19025,0.21084,0.23954,0.28381,0.36709,0.66414,0.35991,0.27325
0.095847,0.098588,0.10156,0.10481,0.10836,0.11228,0.11663,0.12149,0.12697,0.13322,0.14043,0.14886,0.15891,0.17117,0.18659,0.20679,0.23495,0.27834,0.35991,0.65032,0.35322
0.091529,0.094021,0.096714,0.099637,0.10282,0.10632,0.11017,0.11444,0.11922,0.12461,0.13075,0.13783,0.14612,0.156,0.16804,0.18318,0.20303,0.23067,0.27325,0.35322,0.63744
