3.1416,1.5708,1.1781,0.98175,0.85903,0.77313,0.7087,0.65808,0.61695,0.58267,0.55354
1.5708,2.3562,1.3744,1.0799,0.92039,0.81608,0.74091,0.68339,0.63751,0.59981,0.56811
1.1781,1.3744,2.0126,1.2517,1.0094,0.87284,0.78118,0.71388,0.66164,0.61952,0.5846
0.98175,1.0799,1.2517,1.804,1.1643,0.9549,0.83429,0.75194,0.69067,0.64262,0.60356
0.85903,0.92039,1.0094,1.1643,1.6584,1.0973,0.91092,0.80207,0.72687,0.6704,0.62577
0.77313,0.81608,0.87284,0.9549,1.0973,1.5487,1.0435,0.87426,0.7745,0.70501,0.65246
0.7087,0.74091,0.78118,0.83429,0.91092,1.0435,1.4617,0.9988,0.84297,0.75049,0.68568
0.65808,0.68339,0.71388,0.75194,0.80207,0.87426,0.9988,1.3904,0.96085,0.81578,0.72929
0.61695,0.63751,0.66164,0.69067,0.72687,0.7745,0.84297,0.96085,1.3303,0.928,0.79183
0.58267,0.59981,0.61952,0.64262,0.6704,0.70501,0.75049,0.81578,0.928,1.2788,0.89914
0.55354,0.56811,0.5846,0.60356,0.62577,0.65246,0.68568,0.72929,0.79183,0.89914,1.2338
