2.4551,0.92988,0.59763,0.44614,0.35811,0.30013,0.25887,0.22792,0.2038,0.18444,0.16854
0.92988,1.7434,0.77637,0.5284,0.40631,0.3321,0.28176,0.24518,0.21731,0.19532,0.17751
0.59763,0.77637,1.449,0.6863,0.48133,0.37689,0.31184,0.26691,0.2338,0.2083,0.18801
0.44614,0.5284,0.6863,1.2766,0.62504,0.44655,0.35397,0.29546,0.25457,0.22415,0.20053
0.35811,0.40631,0.48133,0.62504,1.1593,0.57975,0.41944,0.33544,0.28185,0.24409,0.21582
0.30013,0.3321,0.37689,0.44655,0.57975,1.0726,0.54443,0.39752,0.32003,0.2703,0.23505
0.25887,0.28176,0.31184,0.35397,0.41944,0.54443,1.0049,0.51584,0.37928,0.30695,0.26032
0.22792,0.24518,0.26691,0.29546,0.33544,0.39752,0.51584,0.95007,0.49205,0.36379,0.29566
0.2038,0.21731,0.2338,0.25457,0.28185,0.32003,0.37928,0.49205,0.90442,0.47183,0.35041
0.18444,0.19532,0.2083,0.22415,0.24409,0.2703,0.30695,0.36379,0.47183,0.86558,0.45434
0.16854,0.17751,0.18801,0.20053,0.21582,0.23505,0.26032,0.29566,0.35041,0.45434,0.83199
