2.3562,2.7489,3.2398,3.6816,4.0804,4.4455,4.7837,5.1001,5.3983,5.6811,5.9505,6.2084,6.4561,6.6947,6.9251,7.1481,7.3644,7.5745,7.779,7.9783,8.1727,8.3626,8.5483,8.73,8.9081,9.0826,9.2539,9.4221,9.5873,9.7497,9.9095,10.067,10.222,10.374,10.524,10.672,10.819,10.963,11.105,11.246,11.385,11.522,11.657,11.791,11.924,12.055,12.184,12.312,12.439,12.565,12.689
2.7489,2.0126,1.8776,2.0187,2.1821,2.3435,2.4986,2.6465,2.7878,2.923,3.0527,3.1773,3.2975,3.4137,3.5261,3.6352,3.7411,3.8442,3.9447,4.0427,4.1384,4.232,4.3236,4.4132,4.5012,4.5874,4.6721,4.7553,4.837,4.9174,4.9965,5.0744,5.1512,5.2268,5.3013,5.3748,5.4473,5.5188,5.5895,5.6593,5.7282,5.7963,5.8636,5.9302,5.996,6.0611,6.1255,6.1892,6.2523,6.3148,6.3767
3.2398,1.8776,1.804,1.5524,1.5915,1.6686,1.7545,1.8418,1.9279,2.0119,2.0935,2.1727,2.2496,2.3243,2.3969,2.4676,2.5364,2.6036,2.6691,2.7331,2.7958,2.8571,2.9171,2.976,3.0338,3.0905,3.1462,3.201,3.2548,3.3078,3.36,3.4114,3.462,3.512,3.5612,3.6097,3.6577,3.705,3.7517,3.7978,3.8434,3.8885,3.9331,3.9771,4.0207,4.0638,4.1065,4.1487,4.1905,4.2319,4.2729
3.6816,2.0187,1.5524,1.6584,1.3716,1.3664,1.4036,1.4537,1.5084,1.5644,1.6204,1.6758,1.7302,1.7835,1.8357,1.8868,1.9367,1.9856,2.0334,2.0803,2.1262,2.1712,2.2154,2.2588,2.3014,2.3432,2.3844,2.4249,2.4647,2.504,2.5426,2.5807,2.6183,2.6553,2.6918,2.7279,2.7635,2.7987,2.8334,2.8677,2.9016,2.9351,2.9683,3.0011,3.0335,3.0656,3.0974,3.1289,3.16,3.1909,3.2214
4.0804,2.1821,1.5915,1.3716,1.5487,1.2521,1.224,1.2392,1.269,1.3049,1.3435,1.3831,1.423,1.4628,1.5022,1.5411,1.5793,1.617,1.654,1.6903,1.7261,1.7612,1.7957,1.8297,1.8631,1.8959,1.9283,1.9602,1.9915,2.0225,2.053,2.083,2.1127,2.142,2.1709,2.1994,2.2276,2.2554,2.2829,2.3101,2.337,2.3636,2.3899,2.4159,2.4416,2.4671,2.4923,2.5173,2.5421,2.5666,2.5908
4.4455,2.3435,1.6686,1.3664,1.2521,1.4617,1.1653,1.124,1.1257,1.1428,1.1667,1.194,1.2231,1.2529,1.2832,1.3134,1.3435,1.3734,1.4029,1.432,1.4608,1.4892,1.5172,1.5447,1.5719,1.5987,1.6251,1.6512,1.6769,1.7022,1.7272,1.7519,1.7763,1.8003,1.8241,1.8476,1.8708,1.8937,1.9164,1.9388,1.961,1.9829,2.0046,2.0261,2.0474,2.0684,2.0893,2.1099,2.1304,2.1507,2.1708
4.7837,2.4986,1.7545,1.4036,1.224,1.1653,1.3904,1.0981,1.0489,1.0418,1.0503,1.0661,1.0856,1.1073,1.1302,1.1537,1.1775,1.2015,1.2254,1.2492,1.2728,1.2962,1.3194,1.3423,1.3649,1.3873,1.4094,1.4313,1.4528,1.4741,1.4952,1.516,1.5365,1.5568,1.5769,1.5967,1.6164,1.6358,1.655,1.674,1.6928,1.7114,1.7298,1.748,1.7661,1.784,1.8017,1.8192,1.8366,1.8539,1.8709
5.1001,2.6465,1.8418,1.4537,1.2392,1.124,1.0981,1.3303,1.044,0.98978,0.97673,0.97917,0.98906,1.003,1.0193,1.0371,1.0557,1.0748,1.0942,1.1137,1.1333,1.1528,1.1723,1.1916,1.2107,1.2297,1.2485,1.2671,1.2855,1.3037,1.3218,1.3396,1.3572,1.3747,1.392,1.4091,1.426,1.4427,1.4593,1.4757,1.492,1.5081,1.524,1.5398,1.5554,1.5709,1.5863,1.6015,1.6165,1.6315,1.6463
5.3983,2.7878,1.9279,1.5084,1.269,1.1257,1.0489,1.044,1.2788,0.99904,0.94168,0.92437,0.92239,0.92794,0.9377,0.94998,0.96385,0.97872,0.99424,1.0102,1.0263,1.0427,1.059,1.0754,1.0917,1.1079,1.1241,1.1401,1.156,1.1718,1.1875,1.203,1.2183,1.2335,1.2486,1.2635,1.2783,1.293,1.3075,1.3219,1.3361,1.3502,1.3642,1.3781,1.3918,1.4054,1.4189,1.4323,1.4456,1.4588,1.4718
5.6811,2.923,2.0119,1.5644,1.3049,1.1428,1.0418,0.98978,0.99904,1.2338,0.96083,0.90149,0.88109,0.87579,0.87804,0.88457,0.89372,0.90456,0.91651,0.92921,0.94241,0.95595,0.96969,0.98357,0.99751,1.0115,1.0254,1.0393,1.0532,1.0669,1.0806,1.0942,1.1077,1.1211,1.1344,1.1475,1.1606,1.1736,1.1864,1.1991,1.2118,1.2243,1.2367,1.249,1.2612,1.2733,1.2853,1.2973,1.3091,1.3208,1.3324
5.9505,3.0527,2.0935,1.6204,1.3435,1.1667,1.0503,0.97673,0.94168,0.96083,0.66575,0.37536,0.2918,0.24699,0.21781,0.19685,0.18086,0.16814,0.15771,0.14897,0.1415,0.13503,0.12936,0.12433,0.11983,0.11578,0.11211,0.10876,0.10569,0.10286,0.10024,0.097815,0.095552,0.093437,0.091454,0.089591,0.087836,0.08618,0.084612,0.083127,0.081716,0.080374,0.079095,0.077875,0.07671,0.075594,0.074526,0.073501,0.072518,0.071572,0.070662
6.2084,3.1773,2.1727,1.6758,1.3831,1.194,1.0661,0.97917,0.92437,0.90149,0.37536,0.58078,0.34137,0.2982,0.28982,0.2943,0.30478,0.31836,0.33362,0.34977,0.36636,0.38312,0.39989,0.41656,0.43306,0.44934,0.46539,0.48119,0.49672,0.512,0.52702,0.54179,0.5563,0.57057,0.58461,0.59841,0.612,0.62537,0.63853,0.65149,0.66426,0.67684,0.68924,0.70147,0.71353,0.72543,0.73717,0.74876,0.76021,0.77151,0.78267
6.4561,3.2975,2.2496,1.7302,1.423,1.2231,1.0856,0.98906,0.92239,0.88109,0.2918,0.34137,0.50546,0.30631,0.28873,0.29885,0.3169,0.33728,0.35795,0.3781,0.39743,0.41582,0.43328,0.44985,0.46559,0.48058,0.49486,0.50851,0.52158,0.53412,0.54619,0.55781,0.56904,0.57989,0.5904,0.60061,0.61052,0.62016,0.62956,0.63873,0.64767,0.65642,0.66498,0.67336,0.68158,0.68964,0.69755,0.70532,0.71296,0.72047,0.72787
6.6947,3.4137,2.3243,1.7835,1.4628,1.2529,1.1073,1.003,0.92794,0.87579,0.24699,0.2982,0.30631,0.51748,0.35565,0.35774,0.37871,0.40193,0.42365,0.44304,0.46009,0.47505,0.48822,0.49987,0.51025,0.51957,0.528,0.53568,0.54273,0.54924,0.55529,0.56096,0.56629,0.57134,0.57613,0.58072,0.58511,0.58935,0.59344,0.5974,0.60125,0.605,0.60866,0.61224,0.61575,0.6192,0.62259,0.62593,0.62922,0.63246,0.63567
6.9251,3.5261,2.3969,1.8357,1.5022,1.2832,1.1302,1.0193,0.9377,0.87804,0.21781,0.28982,0.28873,0.35565,0.47282,0.34756,0.36761,0.39768,0.4248,0.44727,0.4655,0.48025,0.49224,0.50209,0.51027,0.51713,0.52298,0.52803,0.53244,0.53636,0.53988,0.54309,0.54605,0.5488,0.5514,0.55387,0.55623,0.55851,0.56073,0.5629,0.56502,0.56711,0.56917,0.57122,0.57325,0.57527,0.57728,0.57928,0.58129,0.58328,0.58528
