3.5025,1.5302,1.0559,0.82625,0.68674,0.59157,0.52186,0.46826,0.42559,0.3907,0.36157
1.5302,2.5173,1.2907,0.9399,0.75597,0.63898,0.55672,0.49518,0.44711,0.40836,0.37637
1.0559,1.2907,2.0977,1.1461,0.85922,0.70312,0.60122,0.52821,0.47278,0.429,0.39338
0.82625,0.9399,1.1461,1.8477,1.0458,0.79858,0.66135,0.57033,0.50427,0.4536,0.41324
0.68674,0.75597,0.85922,1.0458,1.6759,0.97053,0.75069,0.62718,0.54438,0.48376,0.43691
0.59157,0.63898,0.70312,0.79858,0.97053,1.548,0.91118,0.71151,0.59848,0.52216,0.46592
0.52186,0.55672,0.60122,0.66135,0.75069,0.91118,1.4477,0.86269,0.67863,0.57391,0.50283
0.46826,0.49518,0.52821,0.57033,0.62718,0.71151,0.86269,1.3661,0.82204,0.65049,0.55253
0.42559,0.44711,0.47278,0.50427,0.54438,0.59848,0.67863,0.82204,1.2981,0.78727,0.62601
0.3907,0.40836,0.429,0.4536,0.48376,0.52216,0.57391,0.65049,0.78727,1.24,0.75707
0.36157,0.37637,0.39338,0.41324,0.43691,0.46592,0.50283,0.55253,0.62601,0.75707,1.1898
